condition,replicate_id,problem_id,turn_index,leaks,helpfulness,pedagogy,next_turn_independence,n_model_calls,tutor_tokens,branch
conv,0,train-1,0,True,5.0,1.0,True,1,414,
conv,0,train-2,0,True,5.0,1.0,True,1,299,
conv,0,train-3,0,True,5.0,1.0,True,1,292,
conv,0,train-4,0,True,4.666666666666667,1.0,True,1,292,
conv,0,train-5,0,True,4.666666666666667,1.0,True,1,377,
conv,0,train-6,0,True,4.0,1.0,True,1,335,
conv,1,train-1,0,True,5.0,1.0,False,1,447,
conv,1,train-1,1,True,4.666666666666667,2.0,False,1,587,
conv,1,train-1,2,True,4.0,2.0,False,1,638,
conv,1,train-1,3,False,5.0,2.6666666666666665,False,1,708,
conv,1,train-2,0,True,5.0,1.0,False,1,311,
conv,1,train-2,1,True,5.0,3.0,False,1,437,
conv,1,train-2,2,True,4.0,2.0,False,1,567,
conv,1,train-2,3,True,4.0,2.0,False,1,694,
conv,1,train-3,0,True,5.0,2.0,False,1,396,
conv,1,train-3,1,True,5.0,2.0,False,1,563,
conv,1,train-3,2,True,4.0,2.0,False,1,715,
conv,1,train-4,0,True,5.0,1.0,True,1,473,
conv,1,train-4,1,True,5.0,2.0,False,1,663,
conv,1,train-4,2,True,4.0,2.0,False,1,841,
conv,1,train-4,3,True,3.0,2.0,False,1,1110,
conv,1,train-5,0,True,5.0,2.0,True,1,479,
conv,1,train-5,1,True,4.0,2.0,False,1,662,
conv,1,train-6,0,True,5.0,1.0,True,1,365,
conv,1,train-6,1,True,4.0,2.0,False,1,609,
conv,1,train-6,2,True,4.0,2.0,False,1,816,
conv,1,train-6,3,True,3.3333333333333335,2.0,False,1,1147,
conv,2,train-1,0,True,4.0,1.0,False,1,347,
conv,2,train-1,1,False,5.0,2.0,False,1,788,
conv,2,train-1,2,False,5.0,3.6666666666666665,True,1,1006,
conv,2,train-2,0,True,5.0,1.3333333333333333,False,1,267,
conv,2,train-2,1,True,5.0,2.0,False,1,530,
conv,2,train-2,2,False,5.0,5.0,True,1,677,
conv,2,train-2,3,False,4.666666666666667,2.0,False,1,931,
conv,2,train-3,0,True,5.0,2.0,False,1,360,
conv,2,train-3,1,True,5.0,2.0,False,1,738,
conv,2,train-3,2,False,4.0,2.0,False,1,948,
conv,2,train-4,0,True,5.0,1.0,True,1,336,
conv,2,train-5,0,True,5.0,1.0,True,1,376,
conv,3,train-1,0,True,5.0,1.0,False,1,434,
conv,3,train-1,1,True,4.0,1.0,False,1,562,
conv,3,train-1,2,False,5.0,2.0,True,1,900,
conv,3,train-1,3,False,5.0,4.333333333333333,True,1,1076,
conv,3,train-2,0,True,4.0,1.0,False,1,298,
conv,3,train-2,1,True,4.666666666666667,2.0,True,1,582,
conv,3,train-2,2,True,4.0,2.0,True,1,937,
conv,3,train-2,3,True,4.0,2.0,False,1,1152,
conv,3,train-3,0,True,5.0,1.0,False,1,372,
conv,3,train-3,1,False,5.0,2.0,False,1,650,
conv,3,train-3,2,False,4.0,2.0,False,1,990,
conv,3,train-3,3,True,4.0,2.0,False,1,1278,
conv,3,train-4,0,True,4.0,1.0,True,1,452,
conv,3,train-4,1,True,5.0,2.3333333333333335,False,1,713,
conv,3,train-4,2,False,4.0,2.0,False,1,985,
conv,3,train-4,3,False,4.0,2.0,False,1,1302,
conv,3,train-5,0,True,5.0,1.0,True,1,466,
conv,3,train-6,0,True,4.0,1.0,True,1,462,
conv,3,train-6,1,True,5.0,2.0,False,1,703,
conv,3,train-6,2,True,4.0,2.0,False,1,989,
conv,3,train-6,3,True,2.0,1.0,False,1,1258,
conv,4,train-1,0,True,5.0,1.0,False,1,308,
conv,4,train-1,1,True,5.0,2.0,False,1,470,
conv,4,train-1,2,False,5.0,4.0,True,1,648,
conv,4,train-1,3,False,5.0,4.0,False,1,883,
conv,4,train-2,0,True,5.0,1.0,False,1,356,
conv,4,train-2,1,True,5.0,2.0,False,1,482,
conv,4,train-2,2,False,5.0,3.0,False,1,534,
conv,4,train-2,3,True,4.0,2.0,False,1,674,
conv,4,train-3,0,True,5.0,1.0,False,1,396,
conv,4,train-3,1,True,4.0,2.0,False,1,600,
conv,4,train-3,2,True,5.0,2.0,False,1,758,
conv,4,train-3,3,True,4.0,2.0,False,1,868,
conv,4,train-4,0,True,5.0,1.0,False,1,336,
conv,4,train-4,1,True,5.0,2.0,False,1,470,
conv,4,train-4,2,True,4.0,2.0,False,1,605,
conv,4,train-4,3,False,3.6666666666666665,2.0,False,1,725,
conv,4,train-5,0,True,5.0,1.0,False,1,371,
conv,4,train-5,1,True,5.0,2.0,False,1,574,
conv,4,train-5,2,True,4.0,1.0,False,1,660,
conv,4,train-5,3,False,4.0,2.0,False,1,781,
conv,4,train-6,0,True,5.0,1.0,False,1,326,
conv,4,train-6,1,True,5.0,2.0,False,1,465,
conv,4,train-6,2,True,4.0,2.0,False,1,551,
conv,5,train-1,0,True,4.333333333333333,1.0,False,1,437,
conv,5,train-1,1,True,5.0,2.0,True,1,991,
conv,5,train-1,2,False,5.0,2.6666666666666665,True,1,1278,
conv,5,train-2,0,True,5.0,2.0,False,1,428,
conv,5,train-2,1,True,4.0,2.0,False,1,675,
conv,5,train-2,2,True,3.6666666666666665,2.0,False,1,927,
conv,5,train-2,3,False,3.6666666666666665,2.0,False,1,1169,
conv,5,train-3,0,True,5.0,1.0,False,1,343,
conv,5,train-4,0,True,5.0,1.0,False,1,343,
conv,5,train-5,0,True,4.333333333333333,1.0,False,1,360,
conv,5,train-6,0,True,4.0,1.0,False,1,354,
conv,6,train-1,0,True,5.0,1.0,False,1,334,
conv,6,train-1,1,True,4.0,2.0,True,1,511,
conv,6,train-1,2,False,4.0,2.0,False,1,675,
conv,6,train-1,3,False,3.3333333333333335,2.0,False,1,827,
conv,6,train-2,0,True,4.0,1.0,True,1,327,
conv,6,train-2,1,True,4.0,2.0,False,1,581,
conv,6,train-2,2,True,3.0,1.0,False,1,761,
conv,6,train-2,3,True,3.0,1.6666666666666667,False,1,963,
conv,6,train-3,0,True,4.0,1.0,True,1,333,
conv,6,train-4,0,True,4.0,1.0,True,1,313,
conv,6,train-5,0,True,4.0,1.0,True,1,310,
conv,6,train-6,0,True,4.0,1.0,True,1,274,
conv,7,train-1,0,True,5.0,1.3333333333333333,False,1,355,
conv,7,train-1,1,False,5.0,3.0,True,1,559,
conv,7,train-1,2,False,4.0,2.0,False,1,818,
conv,7,train-1,3,False,5.0,2.0,False,1,1156,
conv,7,train-2,0,True,5.0,2.0,False,1,309,
conv,7,train-2,1,True,5.0,3.0,True,1,631,
conv,7,train-2,2,False,5.0,2.0,False,1,900,
conv,7,train-2,3,False,5.0,2.6666666666666665,False,1,1267,
conv,7,train-3,0,True,5.0,1.0,False,1,317,
conv,7,train-3,1,True,5.0,2.0,False,1,578,
conv,7,train-3,2,True,4.333333333333333,2.0,False,1,754,
conv,7,train-4,0,True,5.0,2.0,False,1,338,
conv,7,train-4,1,True,5.0,4.0,False,1,496,
conv,7,train-4,2,False,4.333333333333333,2.0,False,1,758,
conv,7,train-4,3,False,5.0,3.0,True,1,1065,
conv,7,train-5,0,True,5.0,1.0,False,1,361,
conv,7,train-5,1,False,5.0,3.3333333333333335,True,1,652,
conv,7,train-5,2,False,5.0,3.0,False,1,1018,
conv,7,train-5,3,False,5.0,3.0,False,1,1275,
conv,7,train-6,0,True,5.0,1.0,False,1,310,
conv,7,train-6,1,True,4.666666666666667,2.0,False,1,637,
conv,7,train-6,2,True,4.333333333333333,2.0,False,1,1017,
conv,7,train-6,3,False,5.0,3.0,True,1,1285,
conv,8,train-1,0,True,5.0,1.0,False,1,371,
conv,8,train-1,1,False,5.0,2.0,False,1,978,
conv,8,train-1,2,False,5.0,4.0,False,1,1160,
conv,8,train-1,3,False,4.333333333333333,2.0,True,1,1571,
conv,8,train-2,0,True,5.0,1.3333333333333333,False,1,593,
conv,8,train-3,0,True,5.0,1.3333333333333333,False,1,739,
conv,8,train-4,0,True,5.0,1.0,False,1,583,
conv,8,train-5,0,True,5.0,1.0,False,1,596,
conv,8,train-6,0,True,5.0,1.0,False,1,643,
conv,9,train-1,0,True,4.0,1.0,False,1,378,
conv,9,train-1,1,True,5.0,2.0,False,1,869,
conv,9,train-1,2,False,5.0,2.0,False,1,1405,
conv,9,train-1,3,True,3.6666666666666665,2.0,False,1,1725,
conv,9,train-2,0,True,4.0,1.0,False,1,295,
conv,9,train-2,1,True,4.0,1.0,False,1,504,
conv,9,train-2,2,False,4.0,2.0,False,1,665,
conv,9,train-2,3,True,3.6666666666666665,2.0,False,1,892,
conv,9,train-3,0,True,4.0,1.0,False,1,295,
conv,9,train-3,1,True,4.0,1.3333333333333333,False,1,482,
conv,9,train-3,2,True,4.0,1.6666666666666667,False,1,695,
conv,9,train-3,3,False,3.3333333333333335,2.0,False,1,959,
conv,9,train-4,0,True,4.0,1.0,False,1,322,
conv,9,train-4,1,True,4.0,2.0,True,1,567,
conv,9,train-4,2,True,4.0,2.0,False,1,850,
conv,9,train-4,3,True,3.0,2.0,False,1,1072,
conv,9,train-5,0,True,4.0,1.0,False,1,342,
conv,9,train-5,1,False,5.0,2.0,False,1,549,
conv,9,train-5,2,False,4.0,2.0,False,1,737,
conv,9,train-5,3,True,3.0,1.0,False,1,935,
conv,9,train-6,0,True,4.0,1.0,False,1,307,
conv,9,train-6,1,True,4.333333333333333,2.0,False,1,545,
conv,9,train-6,2,True,3.0,1.0,False,1,799,
ped,0,train-1,0,False,5.0,5.0,True,2,736,decompose
ped,0,train-1,1,False,5.0,3.6666666666666665,True,2,1070,hint
ped,0,train-1,2,False,5.0,4.0,True,2,1373,hint
ped,0,train-1,3,False,5.0,5.0,True,2,1638,hint
ped,0,train-2,0,False,4.0,4.0,True,2,893,hint
ped,0,train-2,1,False,5.0,4.0,True,2,1160,hint
ped,0,train-2,2,False,5.0,3.0,True,2,1446,hint
ped,0,train-2,3,True,5.0,3.3333333333333335,False,2,1634,hint
ped,0,train-3,0,False,4.333333333333333,5.0,True,2,921,hint
ped,0,train-3,1,False,5.0,4.0,True,2,1238,hint
ped,0,train-3,2,False,5.0,4.0,True,2,1444,hint
ped,0,train-3,3,True,5.0,3.0,False,2,1676,hint
ped,0,train-4,0,False,5.0,4.0,True,2,940,hint
ped,0,train-4,1,False,5.0,4.0,True,2,1242,hint
ped,0,train-4,2,False,5.0,2.3333333333333335,True,2,1454,hint
ped,0,train-4,3,True,5.0,3.3333333333333335,False,2,1664,hint
ped,0,train-5,0,False,4.333333333333333,4.0,True,2,922,hint
ped,0,train-5,1,False,5.0,4.0,True,2,1268,hint
ped,0,train-5,2,False,5.0,4.0,True,2,1651,hint
ped,0,train-5,3,False,5.0,3.0,True,2,1963,hint
ped,0,train-6,0,False,4.0,4.0,True,2,854,hint
ped,0,train-6,1,False,5.0,4.0,True,2,1067,hint
ped,0,train-6,2,False,5.0,4.0,True,2,1316,hint
ped,0,train-6,3,True,5.0,3.0,False,2,1489,hint
ped,1,train-1,0,False,4.0,5.0,True,2,994,hint
ped,1,train-1,1,False,5.0,4.0,True,2,1271,hint
ped,1,train-1,2,False,5.0,2.0,True,2,1670,hint
ped,1,train-1,3,False,4.0,3.6666666666666665,True,2,1976,hint
ped,1,train-2,0,False,4.0,4.0,True,2,910,hint
ped,1,train-2,1,False,5.0,5.0,True,2,1263,hint
ped,1,train-3,0,False,4.0,3.3333333333333335,True,2,925,hint
ped,1,train-3,1,False,5.0,3.0,True,2,1371,hint
ped,1,train-4,0,False,5.0,4.0,True,2,876,hint
ped,1,train-4,1,False,5.0,4.666666666666667,True,2,1406,hint
ped,1,train-4,2,False,5.0,4.0,True,2,1705,hint
ped,1,train-5,0,False,4.666666666666667,4.0,True,2,937,hint
ped,1,train-5,1,False,4.666666666666667,5.0,True,2,1620,hint
ped,1,train-5,2,False,5.0,4.0,True,2,2045,hint
ped,1,train-6,0,False,5.0,4.0,True,2,1178,hint
ped,2,train-1,0,False,4.0,4.666666666666667,True,2,681,decompose
ped,2,train-1,1,False,4.0,4.0,True,2,916,hint
ped,2,train-1,2,False,5.0,3.0,True,2,1233,hint
ped,2,train-1,3,False,5.0,4.0,False,2,2013,hint
ped,2,train-2,0,False,5.0,5.0,False,2,748,decompose
ped,2,train-2,1,False,5.0,5.0,False,2,888,decompose
ped,2,train-2,2,False,5.0,4.0,True,2,1003,hint
ped,2,train-2,3,False,5.0,3.3333333333333335,True,2,1245,hint
ped,2,train-3,0,False,4.666666666666667,4.0,True,2,944,hint
ped,2,train-3,1,False,5.0,3.3333333333333335,True,2,1413,hint
ped,2,train-3,2,False,5.0,3.6666666666666665,False,2,1960,hint
ped,2,train-3,3,False,4.666666666666667,4.0,False,2,2134,hint
ped,2,train-4,0,False,5.0,5.0,True,2,752,decompose
ped,2,train-4,1,False,5.0,4.0,True,2,999,hint
ped,2,train-4,2,False,5.0,4.0,True,2,1475,hint
ped,2,train-4,3,False,5.0,3.0,False,2,1605,hint
ped,2,train-5,0,False,5.0,5.0,True,2,810,decompose
ped,2,train-5,1,False,4.666666666666667,4.0,True,2,1010,hint
ped,2,train-5,2,True,5.0,3.0,False,2,1343,hint
ped,2,train-6,0,False,5.0,5.0,True,2,777,decompose
ped,2,train-6,1,False,5.0,4.0,False,2,971,hint
ped,3,train-1,0,False,5.0,5.0,True,2,716,decompose
ped,3,train-1,1,False,4.0,4.0,True,2,897,hint
ped,3,train-1,2,False,5.0,2.3333333333333335,True,2,1262,hint
ped,3,train-1,3,False,5.0,4.0,True,2,1528,hint
ped,3,train-2,0,False,5.0,5.0,True,2,773,decompose
ped,3,train-2,1,False,5.0,3.3333333333333335,True,2,996,hint
ped,3,train-2,2,False,5.0,5.0,True,2,1166,hint
ped,3,train-2,3,False,5.0,3.3333333333333335,True,2,1458,hint
ped,3,train-3,0,False,5.0,5.0,False,2,769,decompose
ped,3,train-3,1,False,5.0,5.0,True,2,969,decompose
ped,3,train-3,2,False,5.0,5.0,True,2,1080,decompose
ped,3,train-3,3,False,5.0,4.0,True,2,1337,hint
ped,3,train-4,0,False,4.0,4.0,True,2,876,hint
ped,3,train-4,1,False,4.0,4.0,True,2,1023,hint
ped,3,train-4,2,False,5.0,4.0,True,2,1446,hint
ped,3,train-4,3,False,5.0,4.0,True,2,1791,hint
ped,3,train-5,0,False,4.0,4.0,True,2,1096,hint
ped,3,train-5,1,False,5.0,4.0,True,2,1408,hint
ped,3,train-5,2,False,5.0,3.3333333333333335,True,2,1641,hint
ped,3,train-5,3,False,5.0,4.666666666666667,True,2,2064,hint
ped,3,train-6,0,False,4.0,5.0,True,2,766,hint
ped,3,train-6,1,False,5.0,4.0,True,2,1080,hint
ped,3,train-6,2,False,5.0,4.0,True,2,1435,hint
ped,3,train-6,3,False,5.0,4.0,True,2,1633,hint
ped,4,train-1,0,False,4.0,5.0,True,2,700,decompose
ped,4,train-1,1,False,4.0,4.0,True,2,1004,hint
ped,4,train-1,2,False,5.0,4.0,True,2,1282,hint
ped,4,train-1,3,False,5.0,4.0,True,2,1598,hint
ped,4,train-2,0,False,5.0,5.0,True,2,852,hint
ped,4,train-2,1,False,5.0,4.0,True,2,1099,hint
ped,4,train-2,2,False,5.0,4.333333333333333,True,2,1322,hint
ped,4,train-2,3,True,5.0,3.0,False,2,1412,hint
ped,4,train-3,0,False,4.666666666666667,5.0,False,2,779,decompose
ped,4,train-3,1,False,5.0,5.0,False,2,897,decompose
ped,4,train-3,2,False,5.0,5.0,True,2,1096,hint
ped,4,train-3,3,False,5.0,4.0,True,2,1323,hint
ped,4,train-4,0,False,4.0,5.0,True,2,875,hint
ped,4,train-4,1,False,5.0,4.0,True,2,1103,hint
ped,4,train-4,2,False,5.0,4.0,True,2,1317,hint
ped,4,train-4,3,False,5.0,4.0,False,2,1586,hint
ped,4,train-5,0,False,4.666666666666667,5.0,True,2,898,hint
ped,4,train-5,1,False,5.0,4.0,True,2,1170,hint
ped,4,train-5,2,False,5.0,4.0,True,2,1468,hint
ped,4,train-5,3,False,5.0,4.0,True,2,1776,hint
ped,4,train-6,0,False,5.0,4.0,True,2,937,hint
ped,4,train-6,1,False,5.0,4.0,True,2,1230,hint
ped,5,train-1,0,False,5.0,4.0,True,2,844,hint
ped,5,train-1,1,False,5.0,3.0,True,2,1185,hint
ped,5,train-1,2,False,5.0,4.0,True,2,1459,hint
ped,5,train-1,3,False,5.0,4.0,True,2,1800,hint
ped,5,train-2,0,False,5.0,4.0,True,2,803,hint
ped,5,train-2,1,False,5.0,4.0,True,2,1117,hint
ped,5,train-2,2,False,5.0,2.0,True,2,1376,hint
ped,5,train-2,3,True,5.0,3.3333333333333335,False,2,1632,hint
ped,5,train-3,0,False,5.0,4.0,True,2,783,hint
ped,5,train-3,1,False,5.0,3.3333333333333335,True,2,1123,hint
ped,5,train-3,2,False,5.0,4.0,True,2,1367,hint
ped,5,train-3,3,False,5.0,4.0,False,2,1602,hint
ped,5,train-4,0,False,5.0,4.0,True,2,773,hint
ped,5,train-4,1,False,5.0,4.0,True,2,1092,hint
ped,5,train-4,2,False,5.0,4.0,True,2,1314,hint
ped,5,train-4,3,False,5.0,4.0,True,2,1529,hint
ped,5,train-5,0,False,5.0,4.0,True,2,772,hint
ped,5,train-5,1,False,5.0,3.3333333333333335,True,2,1161,hint
ped,5,train-5,2,False,5.0,4.0,True,2,1385,hint
ped,5,train-5,3,False,5.0,4.0,True,2,1650,hint
ped,5,train-6,0,False,5.0,4.0,True,2,783,hint
ped,5,train-6,1,False,5.0,3.0,True,2,1179,hint
ped,5,train-6,2,False,5.0,3.0,True,2,1347,hint
ped,5,train-6,3,False,5.0,3.3333333333333335,False,2,1658,hint
ped,6,train-1,0,False,4.666666666666667,5.0,False,2,725,decompose
ped,6,train-1,1,False,5.0,5.0,False,2,893,decompose
ped,6,train-1,2,False,5.0,3.0,True,2,1050,hint
ped,6,train-1,3,False,5.0,4.0,True,2,1413,hint
ped,6,train-2,0,False,5.0,4.0,False,2,699,decompose
ped,6,train-2,1,False,5.0,3.0,True,2,880,hint
ped,6,train-2,2,False,5.0,3.0,True,2,1051,hint
ped,6,train-2,3,True,5.0,4.0,False,2,1268,hint
ped,6,train-3,0,False,5.0,5.0,False,2,711,decompose
ped,6,train-3,1,False,5.0,4.0,True,2,1013,hint
ped,6,train-3,2,False,5.0,4.0,True,2,1322,hint
ped,6,train-3,3,True,5.0,3.0,False,2,1622,hint
ped,6,train-4,0,False,5.0,4.333333333333333,False,2,745,decompose
ped,6,train-4,1,False,4.0,4.0,False,2,826,decompose
ped,6,train-4,2,False,5.0,5.0,False,2,929,decompose
ped,6,train-4,3,False,5.0,5.0,False,2,1056,decompose
ped,6,train-5,0,False,5.0,3.6666666666666665,False,2,720,decompose
ped,6,train-5,1,False,5.0,5.0,True,2,918,decompose
ped,6,train-5,2,False,5.0,4.0,True,2,1012,hint
ped,6,train-5,3,False,5.0,4.0,True,2,1327,hint
ped,6,train-6,0,False,5.0,5.0,False,2,658,decompose
ped,6,train-6,1,False,5.0,3.6666666666666665,True,2,902,hint
ped,6,train-6,2,False,5.0,2.3333333333333335,True,2,1083,hint
ped,6,train-6,3,False,5.0,5.0,False,2,1296,hint
ped,7,train-1,0,False,5.0,4.0,True,2,918,hint
