condition,replicate_id,problem_id,turn_index,leaks,helpfulness,pedagogy,next_turn_independence,n_model_calls,tutor_tokens,branch
conv,0,train-1,0,True,5.0,1.0,False,1,507,
conv,0,train-1,1,True,5.0,2.0,False,1,825,
conv,0,train-1,2,False,5.0,4.0,False,1,910,
conv,0,train-1,3,False,4.0,2.0,False,1,1323,
conv,0,train-2,0,True,5.0,1.3333333333333333,False,1,470,
conv,0,train-2,1,False,4.666666666666667,3.0,False,1,684,
conv,0,train-2,2,False,5.0,4.666666666666667,True,1,857,
conv,0,train-3,0,True,5.0,3.0,False,1,683,
conv,0,train-3,1,False,4.333333333333333,4.0,False,1,1075,
conv,0,train-3,2,False,5.0,4.0,True,1,1423,
conv,0,train-3,3,False,5.0,4.0,True,1,1911,
conv,1,train-1,0,False,4.666666666666667,3.0,True,1,270,
conv,1,train-1,1,False,5.0,4.0,True,1,509,
conv,1,train-1,2,False,5.0,5.0,True,1,590,
conv,1,train-1,3,False,5.0,4.0,True,1,645,
conv,1,train-2,0,False,4.666666666666667,2.0,True,1,371,
conv,1,train-2,1,False,5.0,5.0,True,1,482,
conv,1,train-2,2,True,5.0,4.0,False,1,643,
conv,1,train-2,3,False,4.0,3.0,False,1,853,
conv,1,train-3,0,False,5.0,5.0,True,1,312,
conv,1,train-3,1,False,5.0,4.666666666666667,True,1,428,
conv,1,train-3,2,True,5.0,2.3333333333333335,False,1,809,
conv,1,train-3,3,False,5.0,4.0,False,1,1059,
conv,1,train-4,0,True,5.0,1.0,False,1,556,
conv,1,train-5,0,True,5.0,1.0,False,1,593,
conv,1,train-6,0,True,5.0,2.0,False,1,698,
conv,2,train-1,0,True,5.0,1.0,True,1,470,
conv,2,train-1,1,False,5.0,3.0,False,1,832,
conv,2,train-1,2,True,5.0,2.0,False,1,1169,
conv,2,train-2,0,True,5.0,1.0,True,1,451,
conv,2,train-2,1,False,5.0,3.0,True,1,860,
conv,2,train-3,0,True,5.0,2.0,False,1,562,
conv,2,train-4,0,True,5.0,2.0,False,1,598,
conv,2,train-5,0,True,5.0,1.0,False,1,504,
conv,2,train-6,0,True,5.0,1.0,False,1,406,
conv,3,train-1,0,True,5.0,2.0,True,1,422,
conv,3,train-1,1,False,5.0,3.0,True,1,846,
conv,3,train-1,2,False,5.0,4.333333333333333,True,1,1042,
conv,3,train-2,0,False,5.0,4.0,True,1,313,
conv,3,train-2,1,False,5.0,4.0,True,1,550,
conv,3,train-3,0,True,5.0,1.0,True,1,533,
conv,3,train-4,0,True,5.0,2.0,True,1,770,
conv,4,train-1,0,False,5.0,2.0,True,1,445,
conv,4,train-1,1,False,5.0,5.0,True,1,596,
conv,4,train-1,2,False,5.0,4.333333333333333,True,1,695,
conv,4,train-1,3,False,4.666666666666667,4.0,True,1,781,
conv,4,train-2,0,False,5.0,3.0,True,1,260,
conv,4,train-2,1,False,4.0,4.0,True,1,437,
conv,4,train-2,2,False,4.0,4.0,True,1,521,
conv,4,train-3,0,False,5.0,4.0,True,1,344,
conv,4,train-3,1,False,5.0,3.0,True,1,562,
conv,4,train-4,0,True,5.0,1.0,False,1,533,
conv,4,train-4,1,False,4.0,2.0,True,1,835,
conv,4,train-4,2,False,4.0,2.0,False,1,1155,
conv,4,train-4,3,False,3.0,1.0,False,1,1376,
conv,4,train-5,0,False,5.0,4.0,True,1,425,
conv,4,train-5,1,False,4.0,5.0,True,1,547,
conv,4,train-5,2,False,4.0,4.0,True,1,716,
conv,4,train-5,3,False,5.0,4.0,True,1,839,
conv,4,train-6,0,False,5.0,5.0,True,1,437,
conv,4,train-6,1,True,5.0,2.3333333333333335,False,1,858,
conv,4,train-6,2,False,4.0,3.0,False,1,1186,
conv,4,train-6,3,True,5.0,4.0,True,1,1634,
conv,5,train-1,0,True,5.0,1.0,False,1,494,
conv,5,train-1,1,False,4.0,2.0,False,1,650,
conv,5,train-1,2,False,4.0,1.6666666666666667,False,1,832,
conv,5,train-1,3,False,3.0,1.3333333333333333,False,1,998,
conv,5,train-2,0,False,5.0,2.0,True,1,390,
conv,5,train-2,1,True,5.0,3.6666666666666665,False,1,665,
conv,5,train-2,2,False,5.0,3.0,False,1,834,
conv,5,train-2,3,False,4.0,3.0,False,1,949,
conv,5,train-3,0,True,4.333333333333333,1.0,True,1,467,
conv,5,train-3,1,True,5.0,3.0,False,1,770,
conv,5,train-3,2,False,4.0,2.0,False,1,948,
conv,5,train-3,3,False,4.0,2.0,False,1,1073,
conv,5,train-4,0,True,5.0,1.0,True,1,492,
conv,5,train-4,1,True,4.333333333333333,3.0,False,1,765,
conv,5,train-5,0,True,5.0,1.0,True,1,499,
conv,5,train-5,1,True,4.0,2.0,False,1,897,
conv,5,train-6,0,True,5.0,1.0,True,1,422,
conv,5,train-6,1,True,4.333333333333333,2.0,False,1,719,
conv,6,train-1,0,True,5.0,1.6666666666666667,False,1,490,
conv,6,train-1,1,False,4.0,2.0,False,1,779,
conv,6,train-1,2,False,3.0,2.0,False,1,1109,
conv,6,train-1,3,False,2.3333333333333335,1.0,False,1,1476,
conv,6,train-2,0,True,5.0,1.0,False,1,458,
conv,6,train-2,1,False,5.0,3.0,False,1,775,
conv,6,train-2,2,False,5.0,3.6666666666666665,True,1,1076,
conv,6,train-2,3,False,5.0,4.666666666666667,True,1,1326,
conv,6,train-3,0,True,5.0,2.0,False,1,581,
conv,6,train-4,0,True,5.0,2.0,True,1,538,
conv,6,train-5,0,False,5.0,4.0,True,1,336,
conv,6,train-6,0,False,5.0,4.0,True,1,315,
conv,7,train-1,0,True,5.0,1.0,True,1,527,
conv,7,train-1,1,True,4.666666666666667,2.3333333333333335,True,1,894,
conv,7,train-1,2,False,4.0,3.0,False,1,1111,
conv,7,train-1,3,False,4.0,2.0,False,1,1271,
conv,7,train-2,0,True,5.0,1.0,True,1,507,
conv,7,train-3,0,True,5.0,1.3333333333333333,True,1,547,
conv,7,train-4,0,True,5.0,2.0,True,1,553,
conv,7,train-5,0,True,5.0,1.0,True,1,607,
conv,7,train-6,0,True,5.0,1.0,True,1,490,
conv,8,train-1,0,False,5.0,3.0,True,1,403,
conv,8,train-1,1,False,5.0,3.6666666666666665,True,1,583,
conv,8,train-1,2,True,5.0,2.0,False,1,867,
conv,8,train-1,3,False,5.0,3.6666666666666665,True,1,1080,
conv,8,train-2,0,False,5.0,2.6666666666666665,True,1,393,
conv,8,train-2,1,True,5.0,3.3333333333333335,True,1,640,
conv,8,train-2,2,False,5.0,3.3333333333333335,False,1,978,
conv,8,train-2,3,False,4.0,2.0,False,1,1218,
conv,8,train-3,0,True,5.0,1.0,True,1,521,
conv,8,train-3,1,False,4.0,2.0,False,1,750,
conv,8,train-3,2,False,4.0,2.0,False,1,988,
conv,8,train-3,3,False,2.3333333333333335,1.6666666666666667,False,1,1235,
conv,8,train-4,0,True,5.0,1.0,False,1,515,
conv,8,train-4,1,False,4.0,2.3333333333333335,False,1,805,
conv,8,train-4,2,False,3.0,2.0,False,1,1127,
conv,8,train-4,3,False,2.3333333333333335,1.0,False,1,1413,
conv,8,train-5,0,True,5.0,1.0,False,1,531,
conv,8,train-5,1,False,4.0,2.0,False,1,870,
conv,8,train-5,2,False,3.0,2.0,False,1,1200,
conv,8,train-5,3,False,2.0,1.0,False,1,1551,
