condition,replicate_id,problem_id,turn_index,leaks,helpfulness,pedagogy,next_turn_independence,n_model_calls,tutor_tokens,branch
conv_no_final_answer,0,train-1,0,False,5.0,2.3333333333333335,True,1,520,
conv_no_final_answer,0,train-1,1,False,5.0,4.333333333333333,True,1,755,
conv_no_final_answer,0,train-1,2,False,5.0,5.0,True,1,938,
conv_no_final_answer,0,train-1,3,True,5.0,5.0,True,1,1109,
conv_no_final_answer,0,train-2,0,False,5.0,5.0,True,1,444,
conv_no_final_answer,0,train-2,1,False,5.0,4.0,True,1,700,
conv_no_final_answer,0,train-2,2,True,5.0,4.0,False,1,1069,
conv_no_final_answer,0,train-2,3,False,5.0,3.6666666666666665,False,1,1298,
conv_no_final_answer,0,train-3,0,False,5.0,4.0,False,1,318,
conv_no_final_answer,0,train-3,1,False,5.0,5.0,True,1,538,
conv_no_final_answer,0,train-3,2,False,5.0,5.0,True,1,705,
conv_no_final_answer,0,train-3,3,True,5.0,4.0,False,1,994,
conv_no_final_answer,0,train-4,0,False,5.0,5.0,True,1,433,
conv_no_final_answer,0,train-4,1,True,5.0,4.0,False,1,865,
conv_no_final_answer,0,train-4,2,False,5.0,4.0,False,1,1102,
conv_no_final_answer,0,train-4,3,False,4.0,3.0,False,1,1327,
conv_no_final_answer,0,train-5,0,False,5.0,5.0,True,1,389,
conv_no_final_answer,0,train-5,1,True,5.0,5.0,True,1,817,
conv_no_final_answer,0,train-5,2,False,4.0,3.0,False,1,1126,
conv_no_final_answer,0,train-5,3,False,4.0,3.0,False,1,1401,
conv_no_final_answer,0,train-6,0,True,5.0,4.0,True,1,631,
conv_no_final_answer,0,train-6,1,False,4.0,3.0,False,1,938,
conv_no_final_answer,0,train-6,2,False,4.0,2.3333333333333335,False,1,1182,
conv_no_final_answer,0,train-6,3,False,4.0,2.0,False,1,1373,
conv_no_final_answer,1,train-1,0,False,4.0,4.0,True,1,438,
conv_no_final_answer,1,train-1,1,False,5.0,4.0,True,1,709,
conv_no_final_answer,1,train-1,2,False,5.0,3.0,True,1,956,
conv_no_final_answer,1,train-1,3,False,5.0,5.0,True,1,1096,
conv_no_final_answer,1,train-2,0,False,5.0,4.0,True,1,457,
conv_no_final_answer,1,train-2,1,False,5.0,4.0,True,1,683,
conv_no_final_answer,1,train-2,2,False,4.0,4.333333333333333,True,1,789,
conv_no_final_answer,1,train-2,3,True,5.0,5.0,True,1,927,
conv_no_final_answer,1,train-3,0,False,5.0,5.0,True,1,432,
conv_no_final_answer,1,train-3,1,False,5.0,4.0,True,1,614,
conv_no_final_answer,1,train-3,2,False,4.333333333333333,4.666666666666667,True,1,773,
conv_no_final_answer,1,train-3,3,False,4.666666666666667,4.666666666666667,True,1,849,
conv_no_final_answer,1,train-4,0,False,5.0,4.0,True,1,538,
conv_no_final_answer,1,train-4,1,False,5.0,5.0,True,1,747,
conv_no_final_answer,1,train-4,2,False,5.0,5.0,True,1,1025,
conv_no_final_answer,1,train-4,3,False,2.3333333333333335,3.6666666666666665,True,1,1256,
conv_no_final_answer,1,train-5,0,False,5.0,5.0,True,1,419,
conv_no_final_answer,1,train-5,1,True,5.0,3.0,False,1,728,
conv_no_final_answer,1,train-5,2,False,4.0,3.0,False,1,887,
conv_no_final_answer,1,train-5,3,False,4.0,2.0,False,1,1027,
conv_no_final_answer,1,train-6,0,False,4.666666666666667,4.0,False,1,438,
conv_no_final_answer,2,train-1,0,False,5.0,4.333333333333333,True,1,547,
conv_no_final_answer,2,train-1,1,False,5.0,4.333333333333333,True,1,834,
conv_no_final_answer,2,train-1,2,False,5.0,5.0,True,1,1086,
conv_no_final_answer,2,train-1,3,True,5.0,5.0,True,1,1255,
conv_no_final_answer,2,train-2,0,False,5.0,3.0,True,1,439,
conv_no_final_answer,2,train-2,1,True,5.0,5.0,True,1,724,
conv_no_final_answer,2,train-2,2,False,5.0,4.0,True,1,923,
conv_no_final_answer,2,train-2,3,False,4.0,3.0,False,1,1172,
conv_no_final_answer,2,train-3,0,False,5.0,5.0,True,1,414,
conv_no_final_answer,2,train-3,1,True,5.0,4.0,False,1,929,
conv_no_final_answer,2,train-3,2,False,4.0,3.0,False,1,1172,
conv_no_final_answer,2,train-3,3,False,3.0,2.0,False,1,1427,
conv_no_final_answer,2,train-4,0,False,5.0,5.0,True,1,550,
conv_no_final_answer,2,train-4,1,True,5.0,4.0,False,1,784,
conv_no_final_answer,2,train-4,2,False,4.0,2.6666666666666665,False,1,1023,
conv_no_final_answer,2,train-4,3,False,4.0,2.0,False,1,1305,
conv_no_final_answer,2,train-5,0,True,5.0,2.3333333333333335,False,1,695,
conv_no_final_answer,2,train-5,1,False,4.0,2.0,False,1,985,
conv_no_final_answer,2,train-5,2,False,4.0,2.0,False,1,1242,
conv_no_final_answer,2,train-5,3,False,4.0,2.0,False,1,1546,
conv_no_final_answer,2,train-6,0,False,5.0,4.0,True,1,573,
conv_no_final_answer,2,train-6,1,True,5.0,3.3333333333333335,False,1,812,
conv_no_final_answer,2,train-6,2,False,4.0,2.0,False,1,1107,
conv_no_final_answer,2,train-6,3,False,3.0,1.0,False,1,1379,
conv_no_final_answer,3,train-1,0,False,5.0,5.0,True,1,418,
conv_no_final_answer,3,train-1,1,False,5.0,3.6666666666666665,True,1,672,
conv_no_final_answer,3,train-1,2,False,5.0,5.0,True,1,850,
conv_no_final_answer,3,train-1,3,True,5.0,3.3333333333333335,False,1,1107,
conv_no_final_answer,3,train-2,0,False,5.0,5.0,True,1,386,
conv_no_final_answer,3,train-2,1,False,5.0,4.0,True,1,607,
conv_no_final_answer,3,train-2,2,False,5.0,5.0,True,1,679,
conv_no_final_answer,3,train-2,3,True,5.0,3.6666666666666665,False,1,866,
conv_no_final_answer,3,train-3,0,False,5.0,4.0,True,1,497,
conv_no_final_answer,3,train-3,1,False,5.0,5.0,True,1,721,
conv_no_final_answer,3,train-3,2,True,5.0,3.3333333333333335,False,1,1023,
conv_no_final_answer,3,train-4,0,False,5.0,5.0,True,1,484,
conv_no_final_answer,3,train-4,1,False,5.0,4.666666666666667,True,1,684,
conv_no_final_answer,3,train-4,2,False,5.0,4.0,False,1,899,
conv_no_final_answer,3,train-5,0,False,5.0,5.0,True,1,424,
conv_no_final_answer,3,train-5,1,True,5.0,3.6666666666666665,False,1,812,
conv_no_final_answer,3,train-6,0,True,5.0,3.0,False,1,577,
conv_no_final_answer,4,train-1,0,False,5.0,5.0,True,1,364,
conv_no_final_answer,4,train-1,1,False,5.0,4.666666666666667,True,1,649,
conv_no_final_answer,4,train-1,2,False,4.0,4.0,True,1,797,
conv_no_final_answer,4,train-1,3,False,4.0,4.666666666666667,True,1,898,
conv_no_final_answer,4,train-2,0,False,5.0,5.0,True,1,344,
conv_no_final_answer,4,train-2,1,False,5.0,4.0,True,1,627,
conv_no_final_answer,4,train-3,0,False,5.0,5.0,True,1,386,
conv_no_final_answer,4,train-3,1,False,4.0,4.0,True,1,457,
conv_no_final_answer,4,train-3,2,False,5.0,4.0,True,1,541,
conv_no_final_answer,4,train-4,0,False,5.0,4.0,True,1,451,
conv_no_final_answer,4,train-4,1,False,5.0,5.0,True,1,688,
conv_no_final_answer,4,train-4,2,True,5.0,3.3333333333333335,False,1,950,
conv_no_final_answer,4,train-4,3,False,4.0,4.0,False,1,1215,
conv_no_final_answer,4,train-5,0,False,5.0,4.666666666666667,True,1,490,
conv_no_final_answer,4,train-5,1,False,5.0,5.0,True,1,622,
conv_no_final_answer,4,train-6,0,False,5.0,4.0,True,1,375,
conv_no_final_answer,4,train-6,1,False,4.0,4.0,True,1,452,
