condition,replicate_id,problem_id,turn_index,leaks,helpfulness,pedagogy,next_turn_independence,n_model_calls,tutor_tokens,branch
conv,0,train-1,0,False,5.0,5.0,True,1,345,
conv,0,train-1,1,False,5.0,4.333333333333333,True,1,550,
conv,0,train-1,2,False,5.0,5.0,True,1,933,
conv,0,train-1,3,False,5.0,5.0,True,1,1364,
conv,0,train-2,0,False,5.0,5.0,True,1,337,
conv,0,train-2,1,False,5.0,5.0,False,1,539,
conv,0,train-2,2,False,5.0,5.0,True,1,713,
conv,0,train-2,3,False,5.0,5.0,True,1,899,
conv,0,train-3,0,False,5.0,5.0,True,1,397,
conv,0,train-3,1,False,5.0,4.0,True,1,621,
conv,0,train-3,2,False,5.0,4.666666666666667,True,1,891,
conv,0,train-4,0,False,5.0,5.0,True,1,482,
conv,0,train-4,1,False,5.0,5.0,True,1,718,
conv,0,train-5,0,False,5.0,5.0,True,1,468,
conv,0,train-5,1,False,5.0,5.0,True,1,761,
conv,0,train-6,0,False,5.0,4.0,True,1,567,
conv,1,train-1,0,False,5.0,3.3333333333333335,True,1,412,
conv,1,train-1,1,False,5.0,5.0,True,1,674,
conv,1,train-1,2,False,5.0,4.0,True,1,847,
conv,1,train-1,3,False,5.0,5.0,True,1,1015,
conv,1,train-2,0,False,5.0,5.0,True,1,337,
conv,1,train-2,1,False,5.0,4.333333333333333,True,1,453,
conv,1,train-2,2,True,5.0,4.0,False,1,648,
conv,1,train-2,3,True,5.0,4.0,False,1,1016,
conv,1,train-3,0,False,5.0,5.0,True,1,346,
conv,1,train-3,1,False,5.0,4.0,True,1,527,
conv,1,train-3,2,False,5.0,5.0,True,1,688,
conv,1,train-3,3,False,5.0,4.333333333333333,True,1,814,
conv,1,train-4,0,False,5.0,5.0,True,1,421,
conv,1,train-4,1,False,5.0,5.0,True,1,624,
conv,1,train-4,2,False,5.0,4.0,True,1,851,
conv,1,train-4,3,False,5.0,5.0,True,1,1049,
conv,1,train-5,0,False,5.0,5.0,True,1,346,
conv,1,train-5,1,False,5.0,4.0,True,1,543,
conv,1,train-5,2,False,5.0,5.0,True,1,758,
conv,1,train-5,3,False,5.0,4.666666666666667,True,1,895,
conv,1,train-6,0,False,5.0,5.0,True,1,285,
conv,1,train-6,1,False,5.0,4.333333333333333,True,1,446,
conv,1,train-6,2,False,5.0,5.0,True,1,576,
conv,2,train-1,0,False,5.0,5.0,True,1,236,
conv,2,train-1,1,False,5.0,5.0,True,1,308,
conv,2,train-1,2,False,5.0,4.0,True,1,498,
conv,2,train-1,3,False,5.0,4.333333333333333,True,1,694,
conv,2,train-2,0,False,5.0,5.0,True,1,325,
conv,2,train-2,1,False,5.0,5.0,True,1,502,
conv,2,train-2,2,True,5.0,4.0,False,1,643,
conv,2,train-2,3,False,5.0,5.0,True,1,974,
conv,2,train-3,0,False,5.0,4.0,True,1,390,
conv,2,train-3,1,True,5.0,4.0,False,1,624,
conv,2,train-3,2,False,5.0,3.0,False,1,1163,
conv,2,train-3,3,False,4.666666666666667,4.0,False,1,1386,
conv,2,train-4,0,False,5.0,4.0,True,1,360,
conv,2,train-4,1,True,5.0,4.0,False,1,733,
conv,2,train-4,2,False,5.0,4.0,True,1,964,
conv,2,train-4,3,False,5.0,4.0,False,1,1434,
conv,2,train-5,0,True,5.0,3.0,False,1,515,
conv,2,train-5,1,False,5.0,3.0,False,1,833,
conv,2,train-5,2,False,4.0,3.0,False,1,1018,
conv,2,train-5,3,False,4.0,2.0,False,1,1114,
conv,2,train-6,0,True,5.0,3.0,False,1,462,
conv,2,train-6,1,False,5.0,4.0,True,1,675,
conv,2,train-6,2,False,5.0,3.0,False,1,1208,
conv,2,train-6,3,False,5.0,4.0,True,1,1473,
conv,3,train-1,0,False,5.0,5.0,True,1,301,
conv,3,train-1,1,False,5.0,5.0,False,1,645,
conv,3,train-1,2,False,5.0,5.0,True,1,942,
conv,3,train-1,3,True,5.0,4.0,True,1,1258,
conv,3,train-2,0,False,5.0,4.333333333333333,True,1,386,
conv,3,train-2,1,True,5.0,4.0,False,1,597,
conv,3,train-2,2,False,5.0,4.0,True,1,1091,
conv,3,train-2,3,False,4.0,2.0,False,1,1431,
conv,3,train-3,0,False,5.0,5.0,True,1,496,
conv,3,train-3,1,True,5.0,3.0,True,1,839,
conv,3,train-3,2,False,5.0,3.0,False,1,1327,
conv,3,train-3,3,False,5.0,3.0,False,1,1658,
conv,3,train-4,0,False,5.0,4.0,True,1,371,
conv,3,train-4,1,True,5.0,4.0,False,1,749,
conv,3,train-4,2,False,5.0,4.0,False,1,903,
conv,3,train-4,3,False,4.0,4.0,True,1,1091,
conv,3,train-5,0,False,5.0,4.0,True,1,310,
conv,3,train-5,1,False,5.0,4.0,True,1,461,
conv,3,train-5,2,False,5.0,4.666666666666667,True,1,704,
conv,3,train-5,3,False,5.0,4.0,True,1,876,
conv,3,train-6,0,False,5.0,4.0,True,1,339,
conv,3,train-6,1,True,5.0,4.0,False,1,635,
conv,3,train-6,2,False,5.0,5.0,False,1,905,
conv,3,train-6,3,False,5.0,5.0,True,1,1167,
conv,4,train-1,0,True,5.0,1.3333333333333333,True,1,363,
conv,4,train-1,1,False,5.0,5.0,True,1,579,
conv,4,train-1,2,False,5.0,5.0,True,1,717,
conv,4,train-1,3,False,5.0,5.0,True,1,857,
conv,4,train-2,0,False,5.0,4.333333333333333,True,1,419,
conv,4,train-2,1,False,5.0,5.0,True,1,590,
conv,4,train-2,2,False,5.0,4.333333333333333,True,1,713,
conv,4,train-2,3,False,5.0,4.666666666666667,True,1,838,
conv,4,train-3,0,False,5.0,5.0,True,1,361,
conv,4,train-3,1,False,5.0,4.666666666666667,True,1,500,
conv,4,train-3,2,False,5.0,5.0,False,1,733,
conv,4,train-4,0,False,5.0,5.0,True,1,498,
conv,4,train-4,1,False,5.0,4.666666666666667,True,1,685,
conv,4,train-4,2,False,5.0,5.0,False,1,939,
conv,4,train-5,0,False,5.0,4.0,True,1,402,
conv,4,train-5,1,False,5.0,5.0,True,1,612,
conv,4,train-6,0,False,5.0,4.0,True,1,306,
conv,4,train-6,1,False,5.0,4.0,False,1,522,
conv,5,train-1,0,False,5.0,5.0,False,1,279,
conv,5,train-1,1,False,5.0,5.0,False,1,459,
conv,5,train-1,2,False,5.0,5.0,True,1,625,
conv,5,train-1,3,False,5.0,5.0,True,1,790,
conv,5,train-2,0,False,5.0,5.0,False,1,242,
conv,5,train-2,1,False,5.0,5.0,True,1,404,
conv,5,train-2,2,False,5.0,4.0,True,1,556,
conv,5,train-2,3,False,5.0,4.0,True,1,682,
conv,5,train-3,0,False,5.0,4.0,True,1,255,
conv,5,train-3,1,False,5.0,5.0,False,1,439,
conv,5,train-3,2,False,5.0,5.0,True,1,637,
conv,5,train-3,3,False,5.0,4.0,True,1,796,
conv,5,train-4,0,False,5.0,5.0,True,1,184,
conv,5,train-4,1,False,5.0,5.0,True,1,395,
conv,5,train-4,2,False,5.0,5.0,True,1,644,
conv,5,train-4,3,False,5.0,5.0,True,1,784,
conv,5,train-5,0,False,5.0,5.0,False,1,230,
conv,5,train-5,1,False,5.0,5.0,True,1,370,
conv,5,train-5,2,False,5.0,5.0,True,1,577,
conv,5,train-5,3,False,5.0,5.0,True,1,668,
conv,5,train-6,0,False,5.0,5.0,False,1,247,
conv,5,train-6,1,False,5.0,5.0,True,1,372,
conv,5,train-6,2,False,5.0,4.0,True,1,497,
conv,5,train-6,3,True,5.0,4.0,False,1,677,
conv,6,train-1,0,False,5.0,4.666666666666667,True,1,386,
conv,6,train-1,1,False,5.0,5.0,True,1,656,
conv,6,train-1,2,True,5.0,4.0,False,1,926,
conv,6,train-1,3,False,5.0,5.0,True,1,1309,
conv,6,train-2,0,True,5.0,3.0,False,1,498,
conv,6,train-2,1,False,4.666666666666667,3.6666666666666665,False,1,616,
conv,6,train-2,2,False,5.0,3.0,False,1,947,
conv,6,train-2,3,False,4.0,4.0,False,1,1088,
conv,6,train-3,0,False,5.0,5.0,True,1,457,
conv,6,train-3,1,False,5.0,5.0,True,1,999,
conv,6,train-3,2,False,5.0,5.0,True,1,1209,
conv,6,train-4,0,False,5.0,5.0,True,1,389,
conv,6,train-4,1,False,5.0,4.333333333333333,True,1,545,
conv,6,train-4,2,False,5.0,5.0,True,1,683,
conv,6,train-4,3,False,5.0,4.0,True,1,772,
conv,6,train-5,0,False,5.0,4.666666666666667,True,1,315,
conv,6,train-5,1,False,5.0,4.666666666666667,True,1,476,
conv,6,train-5,2,False,5.0,4.0,True,1,597,
conv,6,train-5,3,False,5.0,4.333333333333333,True,1,726,
conv,6,train-6,0,False,5.0,4.666666666666667,True,1,383,
conv,6,train-6,1,False,5.0,5.0,True,1,755,
conv,7,train-1,0,False,5.0,5.0,True,1,272,
conv,7,train-1,1,False,5.0,4.0,True,1,418,
conv,7,train-1,2,False,5.0,5.0,True,1,554,
conv,7,train-1,3,False,5.0,4.0,True,1,703,
conv,7,train-2,0,False,5.0,3.0,True,1,337,
conv,7,train-2,1,False,5.0,3.0,True,1,522,
conv,7,train-2,2,False,5.0,4.0,True,1,659,
conv,7,train-2,3,True,5.0,4.0,True,1,790,
conv,7,train-3,0,False,5.0,5.0,True,1,409,
conv,7,train-3,1,False,5.0,4.0,True,1,685,
conv,7,train-3,2,True,5.0,4.0,False,1,1004,
conv,7,train-3,3,True,5.0,3.6666666666666665,False,1,1404,
conv,7,train-4,0,False,5.0,5.0,True,1,333,
conv,7,train-4,1,False,5.0,4.666666666666667,True,1,497,
conv,7,train-4,2,False,5.0,5.0,True,1,630,
conv,7,train-4,3,False,5.0,4.0,True,1,776,
conv,7,train-5,0,False,5.0,5.0,True,1,311,
conv,7,train-5,1,False,5.0,5.0,True,1,519,
conv,7,train-5,2,False,5.0,4.666666666666667,True,1,677,
conv,7,train-5,3,False,5.0,5.0,True,1,824,
conv,7,train-6,0,False,5.0,4.333333333333333,True,1,301,
conv,7,train-6,1,True,5.0,4.0,False,1,511,
conv,7,train-6,2,False,5.0,4.0,False,1,886,
conv,7,train-6,3,False,5.0,4.666666666666667,True,1,1103,
conv,8,train-1,0,False,5.0,5.0,True,1,329,
conv,8,train-1,1,False,5.0,5.0,True,1,487,
conv,8,train-1,2,False,5.0,5.0,True,1,684,
conv,8,train-1,3,False,5.0,5.0,True,1,821,
conv,8,train-2,0,False,5.0,5.0,True,1,309,
conv,8,train-2,1,False,5.0,5.0,True,1,494,
conv,8,train-2,2,False,5.0,4.0,True,1,693,
conv,8,train-2,3,True,5.0,4.0,False,1,854,
conv,8,train-3,0,False,5.0,5.0,False,1,275,
conv,8,train-3,1,False,5.0,5.0,True,1,453,
conv,8,train-3,2,False,5.0,5.0,True,1,643,
conv,8,train-3,3,True,5.0,4.0,False,1,915,
conv,8,train-4,0,False,5.0,5.0,True,1,385,
conv,8,train-4,1,False,5.0,5.0,True,1,562,
conv,8,train-4,2,False,5.0,5.0,True,1,783,
conv,8,train-4,3,True,5.0,4.0,False,1,997,
conv,8,train-5,0,False,5.0,5.0,True,1,382,
conv,8,train-5,1,False,5.0,4.0,True,1,621,
conv,8,train-5,2,False,5.0,5.0,True,1,837,
conv,8,train-5,3,True,5.0,4.0,False,1,1038,
conv,8,train-6,0,False,5.0,5.0,True,1,339,
conv,8,train-6,1,False,5.0,4.666666666666667,True,1,475,
conv,8,train-6,2,True,5.0,4.0,False,1,677,
conv,8,train-6,3,False,5.0,4.0,False,1,1012,
conv,9,train-1,0,False,5.0,5.0,False,1,252,
conv,9,train-1,1,False,5.0,5.0,True,1,422,
conv,9,train-1,2,False,5.0,5.0,True,1,604,
